"fullvisitorid","date","units_sold","unit_price","revenue"
"1552171782171201852","2017-06-09",50,"100.00","5000.00"
"2796114041016129482","2017-05-25",100,"49.99","4999.00"
"9062145160793540772","2017-07-18",200,"24.99","4998.00"
"9681060687378784629","2017-07-18",500,"9.99","4995.00"
"8889391457640720040","2017-06-16",50,"99.50","4975.00"
"9832944922803314742","2017-07-11",5,"995.00","4975.00"
"7113011772090059658","2017-06-13",50,"99.50","4975.00"
"82833934163963848","2017-06-28",50,"99.50","4975.00"
"6814131569143407041","2017-06-05",50,"99.50","4975.00"
"0188987909628220263","2017-07-21",50,"99.50","4975.00"
"0069486905584188344","2017-07-01",50,"99.50","4975.00"
"9089132392240687728","2017-05-02",50,"99.50","4975.00"
"2521962539194627780","2017-06-24",34,"145.99","4963.66"
"2450113184622502222","2017-06-27",34,"145.99","4963.66"
"4088938372246510101","2017-06-24",34,"145.99","4963.66"
"4984366501121503466","2017-05-26",30,"165.00","4950.00"
"7463172420271311409","2017-06-22",30,"165.00","4950.00"
"9848160758168036719","2017-07-18",40,"123.20","4928.00"
"3704081881488905199","2017-05-05",17,"288.83","4910.11"
"4974690847354957751","2017-05-12",32,"153.28","4904.96"
"4974690847354957751","2017-05-11",32,"153.28","4904.96"
"4863941202505455588","2017-06-02",35,"139.65","4887.75"
"1489909135644077602","2017-05-19",35,"139.65","4887.75"
"2290096902742681888","2017-07-10",35,"139.65","4887.75"
"8497303823542208210","2017-06-29",35,"139.65","4887.75"
"9681060687378784629","2017-07-28",35,"139.65","4887.75"
"950676259034422019","2017-07-14",18,"269.82","4856.76"
"8907488943105277340","2017-05-25",20,"239.80","4796.00"
"0463969716459552703","2017-06-02",20,"239.80","4796.00"
"3159680216269803510","2017-07-26",20,"239.80","4796.00"
"2604472846435898379","2017-06-22",20,"239.80","4796.00"
"2107725477707270184","2017-06-05",40,"119.60","4784.00"
"7311242886083854158","2017-07-13",40,"119.60","4784.00"
"682241557361742402","2017-06-19",40,"119.60","4784.00"
"2107725477707270184","2017-06-06",40,"119.60","4784.00"
"7113011772090059658","2017-05-17",40,"119.60","4784.00"
"2790290625227220214","2017-05-10",40,"119.60","4784.00"
"1139019058919826253","2017-06-05",38,"121.22","4606.36"
"7820103895504868168","2017-05-12",9,"503.91","4535.19"
"9681060687378784629","2017-07-18",300,"14.99","4498.60"
"0158994139683228392","2017-05-18",15,"299.85","4497.75"
"9681060687378784629","2017-07-18",300,"14.99","4497.00"
"3052828106337222847","2017-07-13",13,"345.67","4493.71"
"7463172420271311409","2017-06-22",30,"149.70","4491.00"
"7113011772090059658","2017-05-17",30,"149.70","4491.00"
"6750341726655002083","2017-07-05",40,"112.00","4480.00"
"6750341726655002083","2017-07-06",40,"112.00","4480.00"
"8704055191873808093","2017-05-19",56,"79.99","4479.44"
"5469079519715865124","2017-05-31",10,"447.90","4479.00"
"4604965471651937146","2017-06-28",16,"271.84","4349.44"
"0608643970260729792","2017-07-14",20,"216.00","4320.00"
"2091708218998967059","2017-05-26",60,"72.00","4320.00"
"4604965471651937146","2017-06-28",38,"113.62","4317.56"
"8912902059525758308","2017-07-05",30,"143.70","4311.00"
"2573779857796716352","2017-07-05",30,"143.70","4311.00"
"2818796658906330904","2017-07-06",30,"143.70","4311.00"
"8484431848057067080","2017-05-09",30,"143.70","4311.00"
"3052828106337222847","2017-07-13",18,"239.22","4305.96"
"1176530694262223790","2017-07-31",15,"284.85","4272.75"
"7305760227138884824","2017-07-11",22,"193.38","4254.36"
"6866350473487025538","2017-06-15",20,"212.60","4252.00"
"6432310188343340425","2017-07-11",20,"212.60","4252.00"
"7259906781649779181","2017-05-11",11,"384.89","4233.79"
